pass,pass_v2,subtask,prompt,input_pattern,output,objective
0,0,-,y,รูปทุกหน้า,รายชื่อ pattern ของแต่ละหน้า,ดูว่าแต่ละหน้าเป็นหน้าอะไร
1,1,-,n,รายชื่อ pattern + รูปทุกหน้า,แยกไฟล์เป็นโฟลเดอร์ตาม subtask (แต่ละโฟลเดอร์มีรูป + ของที่ subtask นั้นต้องใช้ครบ เช่น โฟลเดอร์ plan_beam มีรูปหน้าผังคาน + grid master),จัดระเบียบข้อมูลเป็นโฟลเดอร์ก่อนเข้า pass2/3 ให้แต่ละ subtask หยิบไปทำงานได้เลย
2,2,gridline,y,หน้า gridline (ถ้าไม่มี ใช้หน้า plan/roof_plan/site_plan/side_profile ที่มีเส้น grid แทน),grid master (ตำแหน่งเส้น grid ทุกเส้น + ระยะที่พิมพ์ไว้จริง),ทำเส้น grid กลางไว้ให้หน้าอื่นใช้คำนวณระยะ
2,2,plan_footing,y,grid master + ผังฐานราก (ฐานแผ่/ฐานเสาเข็ม),ตำแหน่ง+จำนวนฐานราก และเสาที่คู่กัน,อ่านผังฐานราก
2,2,plan_column,y,grid master + ผังเสา (บางบ้านรวมอยู่กับผังคาน),ตำแหน่ง+จำนวนเสา,อ่านผังเสา
2,2,plan_beam,y,grid master + ผังคานทุกระดับ (คานคอดิน/คานชั้น/คานอะเส/โครงหลังคา),ตำแหน่งคานทีละช่วง + ความยาวช่วงจาก grid,อ่านผังคาน (ระดับชั้นเก็บเป็นฟิลด์ floor_level ไม่ต้องแยก subtask)
2,2,plan_slab,y,grid master + ผังพื้น/ผังแผ่นพื้นสำเร็จ,ตำแหน่ง+ชนิดแผ่นพื้น,อ่านผังพื้น
2,2,section,y,หน้า section,สเปกเหล็ก/ขนาดของแต่ละมาร์ค,อ่านรูปตัดรายละเอียด
2,2,schedule,y,หน้า schedule,สเปกจากตารางสรุป,อ่านตารางสรุป
2,2,notes,y,หน้า notes,สเปกคอนกรีต/เหล็กของทั้งโครงการ,อ่านข้อกำหนดโครงการ
2,2,material_list,y,หน้า material_list,รายการวัสดุ (BOQ ต้นทาง),อ่านใบประมาณวัสดุ
2,2,soil_boring_log,y,หน้า soil_boring_log,ชั้นดิน/ระดับน้ำใต้ดิน,อ่านผลเจาะสำรวจดิน
3,4,plan_architectural,y,ผังสถาปัตย์ (ผังพื้นห้อง/ห้องน้ำ/ระเบียง/ผังเฟอร์นิเจอร์),ผังห้อง/ประตูหน้าต่าง,อ่านผังสถาปัตย์
3,4,plan_electrical,y,ผังไฟฟ้า (ดวงโคม/ปลั๊ก/แอร์-พัดลม),ตำแหน่งอุปกรณ์ไฟฟ้า,อ่านผังไฟฟ้า
3,4,plan_sanitary,y,ผังสุขาภิบาล (ท่อน้ำดี/น้ำทิ้ง/ระบายน้ำฝน),ตำแหน่งท่อ/บ่อ/ถังบำบัด,อ่านผังสุขาภิบาล
3,4,roof_plan,y,ผังหลังคาสถาปัตย์ + grid master,แนวสัน/ชายคา,อ่านผังหลังคา (ไม่ใช่โครงหลังคา — โครงหลังคาอยู่ที่ plan_beam)
3,4,site_plan,y,หน้า site_plan + grid master,ผังบริเวณ/แนวเขตที่ดิน,อ่านผังบริเวณ
3,4,side_profile,y,หน้า side_profile + grid master,รูปด้าน/รูปตัดอาคาร,อ่านรูปด้าน
3,4,index,y,หน้า index,สารบัญของชุดแบบ,อ่านสารบัญ
3,4,title,y,หน้าปก,ข้อมูลหน้าปก,อ่านหน้าปก
3,4,symbol,y,หน้าสัญลักษณ์,สัญลักษณ์ที่ใช้ในแบบ,อ่านหน้าสัญลักษณ์
3,4,misc,y,หน้าเบ็ดเตล็ด,ข้อมูลอื่น ๆ (เช่น ตารางราคา),อ่านหน้าที่เหลือ
3,4,bbs_schedule,y,หน้า bbs_schedule,รายการตัดเหล็กทีละเส้น,อ่านตารางตัดเหล็ก
-,1.5,n,crop ผัง 4 subtask (plan_footing/column/beam/slab) จาก pass1,JSON พิกัด pixel รายชิ้น + ภาพมาร์คเลข (tools/cv_scan.py),CV หา element ก่อนโมเดลอ่าน — ใช้ทำ hint ให้ 2.4 และเป็นบัญชีตั้งต้นของ 2.5
-,2.4,y,รูป (เปล่า|มาร์คเลข) + prompt pass2 + hint จาก 1.5,ผลอ่านแบบเดียวกับ pass2,แขนทดลอง A/B — วัดว่า hint ช่วยหรือทำให้หลอน (2=ไม่มี hint คือตัวคุม)
-,2.5,n,ผล 2/2.4 + ผล 1.5 + รูป,บัญชี element ฉบับสุดท้าย (CV ∪ โมเดล) พร้อมพิกัด,self-harvest template จากจุดที่เจอแล้วกวาดซ้ำ หาที่ 1.5 ตกหล่น
-,3,y,บัญชีจาก 2.5 + รูป + grid master,ระยะ/เหล็กราย element,ถอดระยะ — ห้ามลบ element ที่ 2.5 เจอ (merge_guard บังคับด้วยโค้ด) เพิ่มได้อย่างเดียว
